indicator,year,dimension
Income Stability,2000,Economics
Business Failure Rate,2000,Economics
Wealth and Income Distribution,2000,Economics
Farm Insurance,2001,Economics
Income Stability,2001,Economics
Business Failure Rate,2001,Economics
Wealth and Income Distribution,2001,Economics
Operations Diversification,2002,Economics
Access to Land,2002,Economics
Income Stability,2002,Economics
Business Failure Rate,2002,Economics
Wealth and Income Distribution,2002,Economics
Income Stability,2003,Economics
Business Failure Rate,2003,Economics
Wealth and Income Distribution,2003,Economics
Income Stability,2005,Economics
Business Failure Rate,2005,Economics
Wealth and Income Distribution,2005,Economics
Income Stability,2006,Economics
Business Failure Rate,2006,Economics
Wealth and Income Distribution,2006,Economics
Farm Insurance,2007,Economics
Operations Diversification,2007,Economics
Access to Land,2007,Economics
Income Stability,2007,Economics
Business Failure Rate,2007,Economics
Wealth and Income Distribution,2007,Economics
Farm Insurance,2008,Economics
Income Stability,2008,Economics
Business Failure Rate,2008,Economics
Wealth and Income Distribution,2008,Economics
Farm Insurance,2009,Economics
Income Stability,2009,Economics
Business Failure Rate,2009,Economics
Wealth and Income Distribution,2009,Economics
Farm Insurance,2010,Economics
Income Stability,2010,Economics
Business Failure Rate,2010,Economics
Wealth and Income Distribution,2010,Economics
Farm Insurance,2011,Economics
Income Stability,2011,Economics
Business Failure Rate,2011,Economics
Wealth and Income Distribution,2011,Economics
Farm Insurance,2012,Economics
Operations Diversification,2012,Economics
Access to Land,2012,Economics
Income Stability,2012,Economics
Business Failure Rate,2012,Economics
Wealth and Income Distribution,2012,Economics
Farm Insurance,2013,Economics
Wealth and Income Distribution,2013,Economics
Farm Insurance,2014,Economics
Farm Insurance,2015,Economics
Income Stability,2015,Economics
Business Failure Rate,2015,Economics
Wealth and Income Distribution,2015,Economics
Farm Insurance,2016,Economics
Income Stability,2016,Economics
Business Failure Rate,2016,Economics
Wealth and Income Distribution,2016,Economics
Farm Insurance,2017,Economics
Operations Diversification,2017,Economics
Market Mix,2017,Economics
Access to Land,2017,Economics
Income Stability,2017,Economics
Business Failure Rate,2017,Economics
Wealth and Income Distribution,2017,Economics
Farm Insurance,2018,Economics
Income Stability,2018,Economics
Business Failure Rate,2018,Economics
Wealth and Income Distribution,2018,Economics
