dimension,total_indicators,year,indicator_count
Economics,12,2000,3
Economics,12,2001,4
Economics,12,2002,5
Economics,12,2003,3
Economics,12,2005,3
Economics,12,2006,3
Economics,12,2007,6
Economics,12,2008,4
Economics,12,2009,4
Economics,12,2010,4
Economics,12,2011,4
Economics,12,2012,6
Economics,12,2013,2
Economics,12,2014,1
Economics,12,2015,4
Economics,12,2016,4
Economics,12,2017,7
Economics,12,2018,4
Economics,12,2019,4
Economics,12,2020,4
Economics,12,2021,4
Economics,12,2022,7
Economics,12,2023,4
Economics,12,2024,4
Environment,13,2000,4
Environment,13,2001,4
Environment,13,2002,5
Environment,13,2003,4
Environment,13,2004,4
Environment,13,2005,4
Environment,13,2006,4
Environment,13,2007,6
Environment,13,2008,4
Environment,13,2009,4
Environment,13,2010,4
Environment,13,2011,4
Environment,13,2012,6
Environment,13,2013,4
Environment,13,2014,4
Environment,13,2015,5
Environment,13,2016,5
Environment,13,2017,7
Environment,13,2018,6
Environment,13,2019,6
Environment,13,2020,7
Environment,13,2021,6
Environment,13,2022,9
Environment,13,2023,5
Environment,13,2024,3
Health,14,2009,2
Health,14,2010,3
Health,14,2011,4
Health,14,2012,6
Health,14,2013,8
Health,14,2014,6
Health,14,2015,6
Health,14,2016,7
Health,14,2017,8
Health,14,2018,9
Health,14,2019,8
Health,14,2020,7
Health,14,2021,8
Health,14,2022,7
Health,14,2023,10
Health,14,2024,6
Production,12,2000,1
Production,12,2001,1
Production,12,2002,6
Production,12,2003,2
Production,12,2004,2
Production,12,2005,2
Production,12,2006,2
Production,12,2007,6
Production,12,2008,4
Production,12,2009,4
Production,12,2010,4
Production,12,2011,4
Production,12,2012,8
Production,12,2013,4
Production,12,2014,4
Production,12,2015,4
Production,12,2016,4
Production,12,2017,8
Production,12,2018,4
Production,12,2019,5
Production,12,2020,5
Production,12,2021,5
Production,12,2022,10
Production,12,2023,3
Production,12,2024,2
Social,20,2000,2
Social,20,2001,1
Social,20,2002,2
Social,20,2003,1
Social,20,2004,2
Social,20,2005,1
Social,20,2006,2
Social,20,2007,1
Social,20,2008,2
Social,20,2009,1
Social,20,2010,2
Social,20,2011,1
Social,20,2012,3
Social,20,2013,2
Social,20,2014,3
Social,20,2015,1
Social,20,2016,3
Social,20,2017,6
Social,20,2018,3
Social,20,2019,2
Social,20,2020,3
Social,20,2021,2
Social,20,2022,7
Social,20,2023,1
Social,20,2024,2
